Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,105283491089362","-0,0747974936088496","0,0720560356221442",0,0,0,"9,57913203645447","0,0304260038935618","9,4408349229452E-06","-0,000380191192485916","0,0471873448280596","7,1461104915765E-07","0,0403438211255412",0,0,0,0,0,0,package://IRB1100_xistera/meshes/base_link.STL,"0,780392156862745","0,8","0,788235294117647",1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/base_link.STL,,link0-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,"0,00624122029419085","-0,000920529201578893","0,0755090026882631",0,0,0,"8,45282246398371","0,0491047642662061","-0,00234573391799158","0,000266705299647525","0,0369632474914021","-0,000384165003190648","0,0363028269631706",0,0,0,0,0,0,package://IRB1100_xistera/meshes/l1.STL,"0,780392156862745","0,8","0,788235294117647",1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/l1.STL,,link1-1,link1,Axis_j13,j1,revolute,"-0,0789045679690987","-0,0748031698825133","0,15814701196597",0,"-0,0174532925199433",0,base_link,0,0,1,0,0,"-2,7453","3,1888",,,,,,,,
l2,"-0,121219114885782","-0,0261520918336268","-0,00296882521737635",0,0,0,"6,55953878255611","0,0214700493263696","-0,0137144817179662","-0,000179143570702576","0,0765894280687242","0,000158167214742439","0,0683370060020664",0,0,0,0,0,0,package://IRB1100_xistera/meshes/l2.STL,"0,780392156862745","0,796078431372549","0,788235294117647",1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/l2.STL,,link2_580-1,Origin_j2,j2,j2,continuous,0,0,"0,1775","-1,5707963267949","-0,216450624526298","2,95475803714406",l1,0,0,-1,,,,,,,,,,,,
l3,"0,00722748712741045","-0,00425060531122728","0,0496803763424455",0,0,0,"2,86220341681764","0,0042437348722123","0,00011764983005676","2,59197550431231E-05","0,00504523474529083","-1,49651058998775E-05","0,00599015821748166",0,0,0,0,0,0,package://IRB1100_xistera/meshes/l3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/l3.STL,,link3_580-1,link3,j3,j3,continuous,"-0,27427","-0,050971","0,0485","3,1416",0,"0,21645",l2,0,0,1,,,,,,,,,,,,
l4,"-0,000457504923202359","0,00270179796954159","0,11631098608909",0,0,0,"3,89100478458496","0,0176170711264484","-0,000349964808821009","-0,000207106059131292","0,0185147877058236","5,86170349496722E-05","0,0052576454786726",0,0,0,0,0,0,package://IRB1100_xistera/meshes/l4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/l4.STL,,link4_580-1,link4,j4,j4,revolute,"-0,072805","0,014521","0,0485","3,0707","-1,5708",0,l3,0,0,1,0,0,"-3,4761","2,8071",,,,,,,,
l5,"0,0123346902944821","-0,000603378896612272","0,00435585202796415",0,0,0,"0,000330181926822551","2,32452786048172E-07","1,63055527530161E-08","-4,79353412720911E-08","2,94567358407438E-07","-3,93483466368745E-09","2,86903187466064E-07",0,0,0,0,0,0,package://IRB1100_xistera/meshes/l5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/l5.STL,,link5_580-1,Origin_j5,Axis_j5,j5,revolute,"6,5064E-05","0,00018718","0,2265","-1,5708","-0,77712","1,2363",l4,0,0,1,0,0,"-2,8881","1,3007",,,,,,,,
l6,"-0,260949216602801","0,10943567985498","0,138224122657984",0,0,0,"2,63325516554124","0,0107831523661728","0,00236812980187639","0,000320270160646401","0,0127999478138318","0,000857800766188902","0,00925489923877011",0,0,0,0,0,0,package://IRB1100_xistera/meshes/l6.STL,1,0,0,1,0,0,0,0,0,0,package://IRB1100_xistera/meshes/l6.STL,,SCHUNK_0302308_SWA_005_000_000_000_000_000_000_000_0__0_0ohne-1/SCHUNK_0302308_SWA_005_000_000_000_000_000_000_000_0__0_0ohne_3-1;SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne-1/SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne_5-1;JaiAlai-cut-1;SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne-1/SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne_3-1;Flanschadapter_Schunk_IRB1100-1,Origin_j6,,j6,continuous,"0,10765","-0,013031","0,05353","-0,51333","-0,44997","1,6908",l5,0,0,1,,,,,,,,,,,,
